ID,Título,Contenido,URL
1,"Choque de motos en Motul, una invadió carril con dramático saldo","Un choque de motocicletas dejó un saldo de tres personas lesionadas, luego que uno de ellos invadió el carril contrario.

Los hechos la noche de ayer, sobre la calle 30 entre 19 y 21 cuando un motociclista salió intempestivamente mientras estaba quitandose de una papelería e invadió el carril de preferencia de otra.

Tras el fuerte impacto, los de la motocicleta derraparon varios metros para quedar tirados en el pavimento quejándose de dolor en diferentes del cuerpo.

Uno de los motociclistas contaba con un pasajero, de modo que los tres lesionados fueron atendidos por paramédicos de la Policía Municipal de Motul.",https://www.yucatan.com.mx/yucatan/2025/09/29/choque-de-motos-en-motul-una-invadio-carril-con-dramatico-saldo.html
2,Marina atiende emergencia médica en embarcación en costas de Yucatán,"PROGRESO.- Personal de la Secretaría de Marina, a través de la Novena Zona Naval, atendió hoy lunes una emergencia médica en inmediaciones de Isla Pérez, donde una embarcación de recreo con 10 tripulantes a bordo presentó fallas mecánicas.

El reporte de auxilio fue recibido por las autoridades navales, quienes desplegaron a personal de sanidad destacado en la isla.

Al arribar al punto, los elementos constataron que una mujer había comenzado a presentar náuseas y vómitos provocados por una infección estomacal, por lo que se le brindó atención médica inmediata.",https://www.yucatan.com.mx/yucatan/2025/09/29/marina-atiende-emergencia-medica-en-embarcacion-en-costas-de-yucatan.html
3,Motociclista es arrastrado por un tráiler en la carretera Umán-Mérida,"UMÁN, Yucatán.- La mañana de este lunes, se registró un accidente vial en la carretera Umán-Mérida, en el que un motociclistas resultó lesionado.

La información recabada señala que, cerca de las 8:00 de la mañana, por la vía señala transitaba un motociclista y, al llegar a la altura del kilómetro 17 observó que un tráiler se incorporó a la carretera y al hacerlo invadió el carril por el que él transitaba.

Al lugar llegaron elementos de la Policía Municipal de Umán que encontraron al motociclista, identificado como R. A. S.C., de 18 años de edad, quien quedó debajo del camión y fue arrastrado por varios metros y fue valorado debido a los golpes y raspones que sufrió.

Los involucrados en el hecho de tránsito llegaron a un acuerdo sobre el pago de los daños y firmaron la hoja de deslinde de responsabilidades.",https://www.yucatan.com.mx/yucatan/2025/09/29/motociclista-es-arrastrado-por-un-trailer-en-la-carretera-uman-merida.html
4,Prevén lluvias y tormentas eléctricas en la Península de Yucatán y ambiente caluroso,"CIUDAD DE MÉXICO.— El Servicio Meteorológico Nacional, de la Comisión Nacional del Agua, emitió el aviso de su pronóstico meteorológico, de las 06:00 horas del lunes 29 de septiembre de 2025.

Este día, un canal de baja presión y una circulación de baja presión en superficie sobre el Golfo de México, mantendrán las condiciones para lluvias fuertes a muy fuertes en el sureste mexicano y la Península de Yucatán, con lluvias puntuales intensas en Veracruz (sur), Oaxaca (este) y Chiapas (oeste y sur).

Al final del día, la nueva onda tropical número 35 se aproximará al sur de la Península de Yucatán.",https://www.yucatan.com.mx/yucatan/2025/09/29/preven-lluvias-y-tormentas-electricas-en-la-peninsula-de-yucatan-y-ambiente-caluroso.html
5,Clausuran planta de extracción de piedra en Conkal,"CONKAL.— En una operación conjunta entre autoridades municipales y estatales, se llevó al cabo la clausura oficial de la Planta Megalita, ubicada en el tramo Conkal-Chicxulub Pueblo.

La medida fue supervisada por la alcaldesa Linda Pérez Quijano y el coordinador de Protección Civil Municipal, Oscar Pech Canté, en coordinación con Protección Civil Yucatán, de acuerdo con una publicación oficial en redes sociales.

La acción, según el reporte, responde al compromiso del Ayuntamiento de Conkal 2024-2027 con la seguridad comunitaria y el cumplimiento de la normativa vigente.",https://www.yucatan.com.mx/yucatan/2025/09/29/clausuran-planta-de-extraccion-de-piedra-en-conkal.html
6,Bache ocasiona que una mujer derrape en su motocicleta en calles de Motul,"MOTUL.- Un enorme bache causó que una motociclista derrapara al no percatarse del hueco en el pavimento, ocasionando que cayera al pasar intempestivamente por la calle.

El accidente ocurrió sobre la calle 23, entre 34 y 34 A, alrededor de las 19:55 horas, cuando Karina Beatriz M. P., de 37 años, circulaba de poniente a oriente.

A pocos metros de la esquina con la calle 34, no vio el bache y perdió el control del manubrio, lo que causó que derrapara varios metros antes de caer al pavimento.",https://www.yucatan.com.mx/yucatan/2025/09/28/bache-ocasiona-que-una-mujer-derrape-en-su-motocicleta-en-calles-de-motul.html
7,Accidente en Tizimín deja joven motociclista lesionado cerca del parque principal,"TIZIMÍN.- Un accidente de tránsito suscitado la mañana de este domingo en el cruce de la calle 51 con 52, en la esquina del parque principal de la ciudad de Tizimín, dejó un joven lesionado con escoriaciones, pero por fortuna sin heridas que ameriten su traslado al hospital.

Según relató a la policía, una camioneta que circulaba de norte a sur sobre la calle 52 no respetó el señalamiento de alto y en su intento por evitar daños mayores por el impacto aplicó los frenos de su vehículo y derrapó.

Afortunadamente, pudo ponerse de pie y, con el apoyo de un elemento municipal de Tizimín asignado a la vigilancia en el palacio municipal.",https://www.yucatan.com.mx/yucatan/2025/09/28/accidente-en-tizimin-deja-joven-motociclista-lesionado-cerca-del-parque-principal.html
8,Abandonan en Chicxulub Puerto un auto que quedó atorado en la arena,"PROGRESO, Yucatán.— Este domingo, varios habitantes de Chicxulub Puerto se sorprendieron al ver un automóvil que quedó atorado en la arena de la zona de playa, a la altura de la calle 4.

De acuerdo con las primeras indagaciones, un automóvil marca Chevrolet, tipo Aveo, fue abandonado cerca de las 2 de la madrugada de este domingo, según señaló el vigilante de un predio cercano.

Según los vecinos de la zona, el auto habría recorrido varios kilómetros bordeando la costa, ya que las huellas de los neumáticos se podía apreciar desde la zona de Uaymitún, hasta quedar varado en Chicxulub, donde las llantas se hundieron en la arena, por lo tanto, no pudo seguir avanzando.

Los vecinos notificaron a las autoridades, quienes tomaron conocimiento del caso y acudirían a retirar la unidad.

Trascendió que, mediante las placas, se podría ubicar al propietario, quien enfrentaría posibles sanciones por los daños ambientales ocasionados en la franja costera.",https://www.yucatan.com.mx/yucatan/2025/09/28/abandonan-en-chicxulub-puerto-un-auto-que-quedo-atorado-en-la-arena.html
9,Hacen festejo a bache en Dzidzantún,"DZIDZANTÚN.— Cansada de la falta de respuesta del Ayuntamiento, una vecina de Dzidzantún celebró anoche el “cumplemés” de su bache y señaló que ella misma lo repararía para demostrar su descontento.

Con un pastel y velas, la vecina de la calle 19 con 8, organizó la “celebración” de los tres meses de “vida” de un bache, que ya es parte del paisaje urbano.

En tono irónico, la residente compartió en redes su felicitación al hoyanco:

“Antes que acabe el día quiero felicitar a mí ya amado y odiado bache, que cumple más de tres meses; mañana (por ayer) será su último día, porque si el honorable Ayuntamiento no se digna a taparlo, lo arreglo yo con mis propias manos”.",https://www.yucatan.com.mx/yucatan/2025/09/24/hacen-festejo-a-bache-en-dzidzantun.html
10,Se acerca otra onda tropical a la Península de Yucatán que causará lluvias fuertes,"CIUDAD DE MÉXICO.— El Servicio Meteorológico Nacional, de la Comisión Nacional del Agua, emitió el aviso de su pronóstico meteorológico, de las 06:00 horas del domingo 28 de septiembre de 2025.

Para hoy, el sistema frontal número 4 se extenderá sobre oriente del Golfo de México e interaccionará con un canal de baja presión en el sureste del país, lo que generará lluvias puntuales intensas en Tabasco y Chiapas; puntuales muy fuertes en Yucatán y Campeche; y puntuales fuertes en Quintana Roo.

A su vez, el huracán Narda mantendrá oleaje elevado en la costa occidental de la Península de Baja California.

Continuará el ambiente cálido a caluroso por la tarde en la mayor parte del territorio mexicano, con temperaturas máximas mayores a 35 °C en zonas de Sonora, Sinaloa, Jalisco, Colima, Michoacán, Guerrero, Oaxaca, Campeche, Yucatán y Quintana Roo.

Finalmente, una nueva onda tropical, se aproximará a la Península de Yucatán.",https://www.yucatan.com.mx/yucatan/2025/09/28/se-acerca-otra-onda-tropical-a-la-peninsula-de-yucatan-que-causara-lluvias-fuertes.html
